Daily figures
Date,Actives,Total Uploads,Cases,Daily Uploads,Expected Uploads,Shortfall
2020-10-09,1300000,2168,506,92,132,30
2020-10-10,1300000,2318,617,150,161,6
2020-10-11,1300000,2439,1012,121,264,54
2020-10-12,1300000,2575,814,136,212,36
2020-10-13,1300000,2673,825,98,215,54
2020-10-14,1300000,2783,811,110,211,48
2020-10-15,1300000,2893,1095,110,285,61
2020-10-16,1300000,3035,1205,142,314,54
2020-10-17,1300000,3151,1000,116,261,55
2020-10-18,1300000,3206,1276,55,333,83
2020-10-19,1300000,3293,1283,87,335,74
2020-10-20,1300000,3416,1031,123,269,54
2020-10-21,1300000,3563,1269,147,331,55
2020-10-22,1300000,3884,1167,321,304,-5
2020-10-23,1300000,4006,1066,122,278,56
2020-10-24,1300000,4175,777,169,202,16
2020-10-25,1300000,4295,859,120,224,46
2020-10-26,1300000,4367,1025,72,267,73
2020-10-27,1300000,4432,939,65,245,73
2020-10-29,1300000,4528,675,96,176,45
2020-10-30,1300000,4587,866,59,226,73
2020-10-31,1300000,4643,772,56,201,72
2020-11-01,1300000,4692,416,49,108,54
2020-11-02,1300000,4737,552,45,144,68
2020-11-03,1300000,4759,767,22,200,89
2020-11-04,1300000,4798,322,39,84,53
2020-11-05,1300000,4837,444,39,115,66
2020-11-06,1300000,4881,591,44,154,71
2020-11-07,1300000,4912,499,31,130,76
2020-11-08,1300000,4946,335,34,87,61
2020-11-09,1300000,4975,542,29,141,79
2020-11-10,1300000,5002,270,27,70,61
2020-11-11,1300000,5031,270,29,70,58
2020-11-12,1300000,5049,362,18,94,81
2020-11-13,1300000,5082,395,33,103,68
2020-11-14,1300000,5115,482,33,125,73
2020-11-15,1300000,5140,456,25,119,79
2020-11-16,1300000,5179,378,39,98,60
2020-11-17,1300000,5206,456,27,119,77
2020-11-18,1300000,5241,366,35,95,63
2020-11-19,1300000,5273,379,32,98,67
2020-11-20,1300000,5273,429,0,112,100
2020-11-21,1300000,5312,330,39,86,54
2020-11-22,1300000,5332,344,20,89,77
2020-11-23,1300000,5350,318,18,83,78
2020-11-24,1300000,5363,252,13,65,80
2020-11-25,1300000,5384,226,21,59,64
2020-11-26,1300000,5411,269,27,70,61
2020-11-27,1300000,5433,335,22,87,74
2020-11-28,1300000,5450,206,17,53,68
2020-11-29,1300000,5468,243,18,63,71
2020-11-30,1300000,5481,299,13,78,83
2020-12-01,1300000,5499,306,18,79,77
2020-12-02,1300000,5514,269,15,70,78
2020-12-03,1300000,5531,270,17,70,76
2020-12-04,1300000,5549,183,18,47,62
2020-12-05,1300000,5558,265,9,69,87
2020-12-06,1300000,5570,456,12,119,89
2020-12-07,1300000,5587,301,17,78,78
2020-12-08,1300000,5592,242,5,63,92
2020-12-09,1300000,5608,215,16,56,71
2020-12-10,1300000,5613,227,5,59,91
2020-12-11,1300000,5628,227,15,59,74
2020-12-12,1300000,5653,313,25,81,69
2020-12-13,1300000,5672,248,19,64,70
2020-12-14,1300000,5697,429,25,112,77
2020-12-15,1300000,5711,264,14,68,79
2020-12-16,1300000,5731,329,20,85,76
2020-12-17,1300000,5754,431,23,112,79
2020-12-18,1300000,5793,484,39,126,69
2020-12-20,1300000,5898,527,105,137,23
2020-12-21,1300000,5930,764,32,199,83
2020-12-22,1300000,5990,727,60,189,68
2020-12-23,1300000,6047,970,57,253,77
2020-12-24,1300000,6151,938,104,244,57
2020-12-25,1300000,6254,922,103,240,57
2020-12-26,1300000,6326,922,72,240,70
2020-12-27,1300000,6326,922,0,240,100
2020-12-28,1300000,6581,744,255,194,-31
2020-12-29,1300000,6767,765,186,199,6
2020-12-30,1300000,6972,1546,205,403,49
2020-12-31,1300000,7198,1718,226,448,49
2021-01-01,1300000,7433,1620,235,423,44
2021-01-02,1300000,7730,1754,297,458,35
2021-01-03,1300000,8100,3394,370,886,58
2021-01-04,1300000,8616,4962,516,1295,60
2021-01-05,1300000,9195,4962,579,1295,55
2021-01-06,1300000,9846,5325,651,1390,53
2021-01-07,1300000,10217,7836,371,2046,81
2021-01-08,1300000,10677,6521,460,1703,72
2021-01-09,1300000,11030,8248,353,2154,83
2021-01-10,1300000,11264,4842,234,1264,81
2021-01-11,1300000,11503,6888,239,1799,86
2021-01-12,1300000,11627,4929,124,1287,90
2021-01-13,1300000,11828,3086,201,806,75
2021-01-14,1300000,12009,3569,181,932,80
2021-01-15,1300000,12169,3955,160,1032,84
2021-01-16,1300000,12331,3498,162,913,82
2021-01-17,1300000,12451,3231,120,843,85
2021-01-18,1300000,12523,2944,72,768,90
2021-01-19,1300000,12593,2121,70,553,87
2021-01-20,1300000,12700,2001,107,522,79
2021-01-21,1300000,12809,2488,109,649,83
2021-01-22,1300000,12881,2608,72,681,89
2021-01-23,1300000,12952,2371,71,619,88
2021-01-24,1300000,13008,1910,56,498,88
2021-01-25,1300000,13046,1378,38,359,89
2021-01-26,1300000,13069,1372,23,358,93
2021-01-27,1300000,13122,928,53,242,78
2021-01-28,1300000,13158,1335,36,348,89
2021-01-29,1300000,13197,1466,39,382,89
2021-01-30,1300000,13244,1254,47,327,85
2021-01-31,1300000,13295,1414,51,369,86
2021-02-01,1300000,13324,1247,29,325,91
2021-02-02,1300000,13361,1062,37,277,86
2021-02-03,1300000,13400,879,39,229,83
2021-02-04,1300000,13435,879,35,229,84
2021-02-05,1300000,13485,1318,50,344,85
2021-02-06,1300000,13515,1047,30,273,89
2021-02-07,1300000,13553,827,38,215,82
2021-02-08,1300000,13579,1024,26,267,90
2021-02-09,1300000,13592,829,13,216,93
2021-02-10,1300000,13632,556,40,145,72
2021-02-11,1300000,13666,1006,34,262,87
2021-02-12,1300000,13706,866,40,226,82
2021-02-13,1300000,13749,921,43,240,82
2021-02-14,1300000,13789,1078,40,281,85
2021-02-15,1300000,13804,788,15,205,92
2021-02-16,1300000,13838,821,34,214,84
2021-02-17,1300000,13869,744,31,194,84
2021-02-18,1300000,13905,650,36,169,78
2021-02-19,1300000,13941,901,36,235,84
2021-02-20,1300000,13974,763,33,199,83
2021-02-21,1300000,14006,988,32,258,87
2021-02-22,1300000,14026,679,20,177,88
2021-02-23,1300000,14058,686,32,179,82
2021-02-24,1300000,14080,575,22,150,85
2021-02-25,1300000,14110,574,30,149,80
2021-02-26,1300000,14127,613,17,160,89
2021-02-27,1300000,14155,776,28,202,86
2021-02-28,1300000,14192,738,37,192,80
2021-03-01,1300000,14212,612,20,159,87
2021-03-02,1300000,14234,687,22,179,87
2021-03-03,1300000,14255,359,21,93,77
2021-03-04,1300000,14285,566,30,147,79
2021-03-05,1300000,14305,462,20,120,83
2021-03-06,1300000,14323,522,18,136,86
2021-03-07,1300000,14339,539,16,140,88
2021-03-08,1300000,14355,525,16,137,88
2021-03-09,1300000,14367,437,12,114,89
2021-03-10,1300000,14394,311,27,81,66
2021-03-11,1300000,14416,631,22,164,86
2021-03-12,1300000,14439,592,23,154,85
2021-03-13,1300000,14468,646,29,168,82
2021-03-14,1300000,14481,543,13,141,90
2021-03-15,1300000,14489,384,8,100,92
2021-03-16,1300000,14498,575,9,150,94
2021-03-17,1300000,14517,349,19,91,79
2021-03-18,1300000,14537,557,20,145,86
2021-03-19,1300000,14562,582,25,152,83
2021-03-20,1300000,14579,507,17,132,87
2021-03-21,1300000,14595,525,16,137,88
2021-03-22,1300000,14609,769,14,200,93
2021-03-23,1300000,14620,769,11,200,94
2021-03-24,1300000,14650,371,30,96,69
2021-03-25,1300000,14675,683,25,178,86
2021-03-26,1300000,14700,606,25,158,84
2021-03-27,1300000,14717,584,17,152,88
2021-03-28,1300000,14729,624,12,162,92
2021-03-29,1300000,14749,604,20,157,87
2021-03-30,1300000,14767,604,18,157,88
2021-03-31,1300000,14797,368,30,96,68
2021-04-01,1300000,14832,411,35,107,67
2021-04-02,1300000,14860,761,28,198,85
2021-04-03,1300000,14883,591,23,154,85
2021-04-04,1300000,14903,511,20,133,85
2021-04-05,1300000,14912,457,9,119,92
2021-04-06,1300000,14928,320,16,83,80
2021-04-07,1300000,14939,443,11,115,90
2021-04-08,1300000,14957,423,18,110,83
30 Day interval summary
Start,End,Cases,Uploads,Expected,Shortfall
2020-10-09,2020-11-08,24816,2870,6481,55
2020-11-09,2020-12-08,9899,646,2585,75
2020-12-09,2021-01-08,51006,5085,13321,61
2021-01-09,2021-02-07,75095,2876,19613,85
2021-02-08,2021-03-09,21285,814,5559,85
2021-03-10,2021-04-08,16101,590,4205,85
Overall
2020-10-09,2021-04-08,198202,12881,51766,75
