Date,Installs,Total Uploads,Cases,Daily Uploads,,Expected Uploads,Shortfall
20201009,2038154,2168,506,92,,134,0.31
20201010,2043903,2318,617,150,,164,0.08
20201011,2050911,2439,1012,121,,268,0.55
20201012,2057682,2575,814,136,,216,0.37
20201013,2064266,2673,825,98,,219,0.55
20201014,2069912,2783,811,110,,215,0.49
20201015,2076342,2893,1095,110,,291,0.62
20201016,2082494,3035,1205,142,,320,0.56
20201017,2088523,3151,1000,116,,265,0.56
20201018,2093417,3206,1276,55,,339,0.84
20201019,2098060,3293,1283,87,,340,0.74
20201020,2104503,3416,1031,123,,274,0.55
20201021,2109762,3563,1269,147,,337,0.56
20201022,2117585,3884,1167,321,,310,-0.04
20201023,2122899,4006,1066,122,,283,0.57
20201024,2126805,4175,777,169,,206,0.18
20201025,2129973,4295,859,120,,228,0.47
20201026,2132702,4367,1025,72,,272,0.74
20201027,2135744,4432,939,65,,249,0.74
20201029,2141723,4528,675,96,,179,0.46
20201030,2144574,4587,866,59,,230,0.74
20201031,2147080,4643,772,56,,205,0.73
20201101,2149184,4692,416,49,,110,0.56
20201102,2151438,4737,552,45,,146,0.69
20201103,2153842,4759,767,22,,203,0.89
20201104,2155961,4798,322,39,,85,0.54
20201105,2158163,4837,444,39,,118,0.67
20201106,2160009,4881,591,44,,157,0.72
20201107,2161741,4912,499,31,,132,0.77
20201108,2163416,4946,335,34,,89,0.62
20201109,2165057,4975,542,29,,144,0.80
20201110,2166934,5002,270,27,,72,0.62
20201111,2168621,5031,270,29,,72,0.60
20201112,2170489,5049,362,18,,96,0.81
20201113,2209520,5082,395,33,,105,0.69
20201114,2174088,5115,482,33,,128,0.74
20201115,2175824,5140,456,25,,121,0.79
20201116,2177604,5179,378,39,,100,0.61
20201117,2179627,5206,456,27,,121,0.78
20201118,2181741,5241,366,35,,97,0.64
20201119,2183492,5273,379,32,,101,0.68
20201120,2185033,5273,429,0,,114,1.00
20201121,2186711,5312,330,39,,88,0.55
20201122,2188488,5332,344,20,,91,0.78
20201123,2190033,5350,318,18,,84,0.79
20201124,2191599,5363,252,13,,67,0.81
20201125,2193087,5384,226,21,,60,0.65
20201126,2194515,5411,269,27,,71,0.62
20201127,2195994,5433,335,22,,89,0.75
20201128,2197506,5450,206,17,,55,0.69
20201129,2199037,5468,243,18,,64,0.72
20201130,2200551,5481,299,13,,79,0.84
20201201,2202219,5499,306,18,,81,0.78
20201202,2203678,5514,269,15,,71,0.79
20201203,2205297,5531,270,17,,72,0.76
20201204,2206908,5549,183,18,,49,0.63
20201205,2208440,5558,265,9,,70,0.87
20201206,2210667,5570,456,12,,121,0.90
20201207,2212473,5587,301,17,,80,0.79
20201208,2214152,5592,242,5,,64,0.92
20201209,2215688,5608,215,16,,57,0.72
20201210,2217298,5613,227,5,,60,0.92
20201211,2218159,5628,227,15,,60,0.75
20201212,2220670,5653,313,25,,83,0.70
20201213,2222188,5672,248,19,,66,0.71
20201214,2224058,5697,429,25,,114,0.78
20201215,2225894,5711,264,14,,70,0.80
20201216,2227578,5731,329,20,,87,0.77
20201217,2229396,5754,431,23,,114,0.80
20201218,2231570,5793,484,39,,128,0.70
20201220,2235955,5898,527,105,,140,0.25
20201221,2238718,5930,764,32,,203,0.84
20201222,2241749,5990,727,60,,193,0.69
20201223,2244916,6047,970,57,,257,0.78
20201224,2248286,6151,938,104,,249,0.58
20201225,2250884,6254,922,103,,245,0.58
20201226,2254652,6326,922,72,,245,0.71
20201227,2254652,6326,922,0,,245,1.00
20201228,2264970,6581,744,255,,197,-0.29
20201229,2270148,6767,765,186,,203,0.08
20201230,2276295,6972,1546,205,,410,0.50
20201231,2283245,7198,1718,226,,456,0.50
20210101,2289322,7433,1620,235,,430,0.45
20210102,2298653,7730,1754,297,,465,0.36
20210103,2309008,8100,3394,370,,900,0.59
20210104,2321163,8616,4962,516,,1316,0.61
20210105,2326933,9195,4962,579,,1316,0.56
20210106,2336754,9846,5325,651,,1413,0.54
20210107,2342498,10217,7836,371,,2079,0.82
20210108,2347846,10677,6521,460,,1730,0.73
20210109,2352534,11030,8248,353,,2188,0.84
20210110,2356518,11264,4842,234,,1285,0.82
20210111,2360435,11503,6888,239,,1827,0.87
20210112,2365013,11627,4929,124,,1308,0.91
20210113,2368853,11828,3086,201,,819,0.75
20210114,2372377,12009,3569,181,,947,0.81
20210115,2375745,12169,3955,160,,1049,0.85
20210116,2378612,12331,3498,162,,928,0.83
20210117,2381151,12451,3231,120,,857,0.86
20210118,2383510,12523,2944,72,,781,0.91
20210119,2386120,12593,2121,70,,563,0.88
20210120,2388684,12700,2001,107,,531,0.80
20210121,2390741,12809,2488,109,,660,0.83
20210122,2392773,12881,2608,72,,692,0.90
20210123,2394677,12952,2371,71,,629,0.89
20210124,2396817,13008,1910,56,,507,0.89
20210125,2398735,13046,1378,38,,366,0.90
20210126,2400680,13069,1372,23,,364,0.94
20210127,2402708,13122,928,53,,246,0.78
20210128,2404731,13158,1335,36,,354,0.90
20210129,2406397,13197,1466,39,,389,0.90
20210130,2407975,13244,1254,47,,333,0.86
20210131,2409381,13295,1414,51,,375,0.86
20210201,2410807,13324,1247,29,,331,0.91
20210202,2412372,13361,1062,37,,282,0.87
20210203,2413733,13400,879,39,,233,0.83
20210204,2414520,13435,879,35,,233,0.85
20210205,2416721,13485,1318,50,,350,0.86
20210206,2418050,13515,1047,30,,278,0.89
20210207,2419179,13553,827,38,,219,0.83
20210208,2420297,13579,1024,26,,272,0.90
20210209,2421808,13592,829,13,,220,0.94
20210210,2423079,13632,556,40,,148,0.73
20210211,2424640,13666,1006,34,,267,0.87
20210212,2426256,13706,866,40,,230,0.83
20210213,2427636,13749,921,43,,244,0.82
20210214,2428909,13789,1078,40,,286,0.86
20210215,2430225,13804,788,15,,209,0.93
20210216,2431727,13838,821,34,,218,0.84
20210217,2432958,13869,744,31,,197,0.84
20210218,2434173,13905,650,36,,172,0.79
20210219,2435390,13941,901,36,,239,0.85
20210220,2436468,13974,763,33,,202,0.84
20210221,2437623,14006,988,32,,262,0.88
20210222,2438644,14026,679,20,,180,0.89
20210223,2440522,14058,686,32,,182,0.82
20210224,2441892,14080,575,22,,153,0.86
